id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W3082526450,Rita de Cássia Ribeiro‐Silva|Marcos Pereira|Tereza Campello|Érika Aragão|Jane Mary de Medeiros Guimarães|Andrêa JF Ferreira|Maurício L. Barreto|Sandra Maria Chaves dos Santos,https://openalex.org/A5074830344|https://openalex.org/A5011541142|https://openalex.org/A5030179258|https://openalex.org/A5080461672|https://openalex.org/A5016577618|https://openalex.org/A5109061432|https://openalex.org/A5042413273|https://openalex.org/A5029750442,https://orcid.org/0000-0002-8387-9254|https://orcid.org/0000-0003-3766-2502|https://orcid.org/0000-0002-9905-9453|https://orcid.org/0000-0002-4903-0556|https://orcid.org/0000-0002-9538-2675||https://orcid.org/0000-0002-0215-4930|https://orcid.org/0000-0002-4706-0284,BR|BR|AT|GB|BR|BR|BR|BR|BR,Universidade Federal da Bahia|Instituto Brasileiro de Informação em Ciência e Tecnologia|University of Nottingham|United Nations Industrial Development Organization|Instituto Brasileiro de Informação em Ciência e Tecnologia|Universidade Federal do Sul da Bahia|Instituto Brasileiro de Informação em Ciência e Tecnologia|Instituto Brasileiro de Informação em Ciência e Tecnologia|Universidade Federal da Bahia|Hospital Ana Nery,https://openalex.org/I126158947|https://openalex.org/I4210088975|https://openalex.org/I142263535|https://openalex.org/I1325620243|https://openalex.org/I4210088975|https://openalex.org/I4210096578|https://openalex.org/I4210088975|https://openalex.org/I4210088975|https://openalex.org/I126158947|https://openalex.org/I4210145392,True|False|False|False|False|False|False|False,cc-by,194,https://openalex.org/I126158947,Implicações da pandemia COVID-19 para a segurança alimentar e nutricional no Brasil,https://doi.org/10.1590/1413-81232020259.22152020,26.92332901,https://pubmed.ncbi.nlm.nih.gov/32876253,False,pt,True,diamond,Ciência & Saúde Coletiva,https://openalex.org/S53297675,1413-8123,journal,Consumer Attitudes and Food Labeling,2020-08-28,2020,article
https://openalex.org/W3082189972,Taís de Moura Ariza Alpino|Cláudia Roberta Bocca Santos|Denise Cavalcante de Barros|Carlos Machado de Freitas,https://openalex.org/A5077071971|https://openalex.org/A5018915872|https://openalex.org/A5080197101|https://openalex.org/A5035890123,https://orcid.org/0000-0001-5045-9483|https://orcid.org/0000-0002-4312-3049|https://orcid.org/0000-0001-5016-0844|https://orcid.org/0000-0001-6626-9908,BR|BR|BR|BR,Fundação Oswaldo Cruz|Universidade Federal do Estado do Rio de Janeiro|Fundação Oswaldo Cruz|Escola Nacional de Saúde Pública|Fundação Oswaldo Cruz,https://openalex.org/I52325|https://openalex.org/I83648350|https://openalex.org/I52325|https://openalex.org/I4210131460|https://openalex.org/I52325,True|False|False|False,cc-by,89,https://openalex.org/I52325,COVID-19 e (in)segurança alimentar e nutricional: ações do Governo Federal brasileiro na pandemia frente aos desmontes orçamentários e institucionais,https://doi.org/10.1590/0102-311x00161320,17.13829207,https://pubmed.ncbi.nlm.nih.gov/32901703,False,pt,True,diamond,Cadernos de Saúde Pública,https://openalex.org/S118474221,0102-311X,journal,Food Security and Health in Diverse Populations,2020-01-01,2020,review
https://openalex.org/W2912865652,Inês Rugani Ribeiro de Castro,https://openalex.org/A5068187650,https://orcid.org/0000-0002-7479-4400,BR,Universidade do Estado do Rio de Janeiro,https://openalex.org/I40034438,True,cc-by,69,https://openalex.org/I40034438,A extinção do Conselho Nacional de Segurança Alimentar e Nutricional e a agenda de alimentação e nutrição,https://doi.org/10.1590/0102-311x00009919,21.50558728,https://pubmed.ncbi.nlm.nih.gov/30758450,False,pt,True,diamond,Cadernos de Saúde Pública,https://openalex.org/S118474221,0102-311X,journal,Rural Development and Agriculture,2019-01-01,2019,editorial
https://openalex.org/W2004128931,Kelly Poliany de Souza Alves|Patrícia Constante Jaime,https://openalex.org/A5012471375|https://openalex.org/A5080633927,https://orcid.org/0000-0001-7293-4628|https://orcid.org/0000-0003-2291-8536,BR|ST|BR|ST,Ministério da Saúde|Universidade de Brasília|Ministério da Saúde|Universidade de Brasília,https://openalex.org/I4210152294|https://openalex.org/I150729083|https://openalex.org/I4210152294|https://openalex.org/I150729083,True|False,cc-by-nc,54,https://openalex.org/I4210152294|https://openalex.org/I150729083,A Política Nacional de alimentação e Nutrição e seu diálogo com a Política Nacional de Segurança alimentar e Nutricional,https://doi.org/10.1590/1413-812320141911.08072014,3.62830487,https://pubmed.ncbi.nlm.nih.gov/25351300,False,pt,True,diamond,Ciência & Saúde Coletiva,https://openalex.org/S53297675,1413-8123,journal,"Food, Nutrition, and Cultural Practices",2014-10-22,2014,article
https://openalex.org/W3042052806,Patrícia Constante Jaime,https://openalex.org/A5080633927,https://orcid.org/0000-0003-2291-8536,BR,Instituto de Saúde|Universidade de São Paulo,https://openalex.org/I4210131358|https://openalex.org/I17974374,True,cc-by,38,https://openalex.org/I17974374|https://openalex.org/I4210131358,Pandemia de COVID19: implicações para (in)segurança alimentar e nutricional,https://doi.org/10.1590/1413-81232020257.12852020,7.81746656,https://pubmed.ncbi.nlm.nih.gov/32667534,False,pt,True,diamond,Ciência & Saúde Coletiva,https://openalex.org/S53297675,1413-8123,journal,Food Security and Health in Diverse Populations,2020-07-01,2020,editorial
https://openalex.org/W2189630252,Ana Maria Segall‐Corrêa|Letícia Marín‐Léon,https://openalex.org/A5015334803|https://openalex.org/A5052451079,https://orcid.org/0000-0003-0140-064X|https://orcid.org/0000-0001-6214-1173,BR|BR,Universidade Estadual de Campinas (UNICAMP)|Universidade Estadual de Campinas (UNICAMP),https://openalex.org/I181391015|https://openalex.org/I181391015,True|False,cc-by-nc,114,https://openalex.org/I181391015,A segurança alimentar no Brasil: proposição e usos da escala brasileira de medida da insegurança alimentar (EBIA) de 2003 a 2009,https://doi.org/10.20396/san.v16i2.8634782,16.0172248,,False,pt,True,diamond,Segurança Alimentar e Nutricional,https://openalex.org/S4210175510,1808-8023,journal,Food Security and Health in Diverse Populations,2015-02-10,2015,article
https://openalex.org/W4206298161,Taís de Moura Ariza Alpino|Maíra Lopes Mazoto|Denise Cavalcante de Barros|Carlos Machado de Freitas,https://openalex.org/A5077071971|https://openalex.org/A5019751194|https://openalex.org/A5080197101|https://openalex.org/A5035890123,https://orcid.org/0000-0001-5045-9483|https://orcid.org/0000-0001-5650-9402|https://orcid.org/0000-0001-5016-0844|https://orcid.org/0000-0001-6626-9908,BR|BR|BR|BR,Fundação Oswaldo Cruz|Fundação Oswaldo Cruz|Fundação Oswaldo Cruz|Escola Nacional de Saúde Pública|Fundação Oswaldo Cruz,https://openalex.org/I52325|https://openalex.org/I52325|https://openalex.org/I52325|https://openalex.org/I4210131460|https://openalex.org/I52325,True|False|False|False,cc-by,35,https://openalex.org/I52325,Os impactos das mudanças climáticas na Segurança Alimentar e Nutricional: uma revisão da literatura,https://doi.org/10.1590/1413-81232022271.05972020,7.50299004,https://pubmed.ncbi.nlm.nih.gov/35043907,False,pt,True,diamond,Ciência & Saúde Coletiva,https://openalex.org/S53297675,1413-8123,journal,Agriculture Sustainability and Environmental Impact,2022-01-01,2022,review
https://openalex.org/W2902094394,Patrícia Henriques|Gisele O’Dwyer|Patrícia Camacho Dias|Roseane Moreira Sampaio Barbosa|Luciene Burlandy,https://openalex.org/A5017448595|https://openalex.org/A5091065980|https://openalex.org/A5081356494|https://openalex.org/A5058143824|https://openalex.org/A5052727337,https://orcid.org/0000-0001-8154-0962|https://orcid.org/0000-0003-0222-1205|https://orcid.org/0000-0002-0674-8832|https://orcid.org/0000-0002-0850-7143|https://orcid.org/0000-0003-0875-6374,BR|BR|BR|BR|BR,Universidade Federal Fluminense|Fundação Oswaldo Cruz|Universidade Federal Fluminense|Universidade Federal Fluminense|Universidade Federal Fluminense,https://openalex.org/I161127581|https://openalex.org/I52325|https://openalex.org/I161127581|https://openalex.org/I161127581|https://openalex.org/I161127581,True|False|False|False|False,cc-by,41,https://openalex.org/I161127581,Políticas de Saúde e de Segurança Alimentar e Nutricional: desafios para o controle da obesidade infantil,https://doi.org/10.1590/1413-812320182312.34972016,5.20514724,https://pubmed.ncbi.nlm.nih.gov/30539998,False,pt,True,diamond,Ciência & Saúde Coletiva,https://openalex.org/S53297675,1413-8123,journal,Consumer Attitudes and Food Labeling,2018-12-01,2018,article
https://openalex.org/W2588958872,"Silmara Christina Rodrigues de Assis|Sílvia Eloiza Priore|Sylvia do Carmo Castro Franceschini|UFV, Brasil",https://openalex.org/A5074599669|https://openalex.org/A5037726423|https://openalex.org/A5026843502|,|https://orcid.org/0000-0003-0656-1485|https://orcid.org/0000-0001-7934-4858|,BR|BR|BR|,Universidade Federal de Viçosa|Universidade Federal de Viçosa|Universidade Federal de Viçosa|,https://openalex.org/I146165071|https://openalex.org/I146165071|https://openalex.org/I146165071|,True|False|False|False,cc-by,30,https://openalex.org/I146165071,Impacto do Programa de Aquisição de Alimentos na Segurança Alimentar e Nutricional dos agricultores,https://doi.org/10.1590/1413-81232017222.02292015,10.72880252,,False,pt,True,diamond,Ciência & Saúde Coletiva,https://openalex.org/S53297675,1413-8123,journal,Rural Development and Agriculture,2017-02-01,2017,article
https://openalex.org/W2793035970,Ana Beatriz Vasconcellos|Leides Barroso Azevedo Moura,https://openalex.org/A5077426139|https://openalex.org/A5091022199,|https://orcid.org/0000-0002-1208-4569,BR|BR,Fundo Brasil|Ministry of Education|Universidade de Brasília,https://openalex.org/I4210142934|https://openalex.org/I1293487690|https://openalex.org/I150729083,True|False,cc-by,32,https://openalex.org/I1293487690|https://openalex.org/I4210142934,Segurança alimentar e nutricional: uma análise da situação da descentralização de sua política pública nacional,https://doi.org/10.1590/0102-311x00206816,6.99144708,https://pubmed.ncbi.nlm.nih.gov/29513826,False,pt,True,diamond,Cadernos de Saúde Pública,https://openalex.org/S118474221,0102-311X,journal,Food Security and Health in Diverse Populations,2018-03-01,2018,article
